start	end	text
0	3920	Det blev nog en lyckad tillställning.
4080	8840	Igår hade några av de gamla gossarna och kamraterna här och...
9000	12200	...tog oss en liten klarelse. Jag vet inte vad som hände.
14840	18320	Det är inte så ofta jag drabbas av den här situationen-
18480	23080	och vaknar upp till denna typ av bord och letar runt bland slattarna.
23240	27840	Men det var ju ofta under studentåren.
27840	30960	Då fann jag ut denna fantastiska rätt.
31120	33600	Man tar en ost. Ett halv kilo brukar räcka.
33760	35680	Till exempel en mellanlagrad präst.
35840	39160	Man tar bort plasten. Det glömmer man ibland. Det är inget gott alls.
39320	41680	Man skär bort kanterna.
41840	45760	Sen lägger man osten i en glaskål som tål värme-
45920	49200	och ställer in den i mikro.
49200	58400	Högsta effekt, fem-sex minuter, eller tre-fyra, man får se, tills den har smält.
58560	62320	Halvvägs in i smältningen får man röra lite grann i osten-
62480	66560	och den blir jämnt smält.
66720	68600	Den här behöver nog en minut till.
68760	72840	Allt beror på hur effektiv mikrovågsugn man har.
72840	76280	Jag får nog vattna chilien innan gorilla kommer hem.
79240	83160	Till slut har man en fin smält ostmassa.
83320	85640	Man kan jämna till den lite grann.
85800	89600	Det här är egentligen hela rätten.
89760	93560	Smält ost, perfekt när man är bakfull.
93720	96120	Mm!
96280	100080	Det är feta, milda som lägger sig i osten.
100080	105360	Feta, milda som lägger sig som en balsam in i kroppen.
105520	107240	Det är det som gör den så lycklig.
107400	114120	Har man turen att dessutom ha lite små slattar, man kanske har lite konjak över.
114280	116560	Man kanske har lite vitt vin.
116720	121200	Då kan man få rena ostfondyn-feelingen genom att man nyttjar slattarna-
121360	126040	och rör med stora fina skedtag ner det hela.
126200	128720	Nu är det ännu godare.
128720	130720	Mm!
132520	135520	Jag känner mig redan som en bättre människa.
138200	139200	Mm!
139360	144440	Det här är exakt en calzone utan skinka och minus bröd.
144600	148720	Det är den mjuka, trevliga smälteosten som du är van med i en pizza.
148880	152640	Du slipper brödet och tillbehören och den är betydligt enklare.
152800	156920	Du behöver inte gå ut och beställa, du smälter den i din egen mikro.
156920	160680	Det här rekommenderar jag ungdomen att ha till sig som ett medel-
160840	165520	för gladare dagar när de har rullat väldigt mycket hatt.
165680	168960	Vill ni veta mer smarta trick för baksmäll och andra trevligheter-
168960	187360	så prenumerera på min kanal genom att trycka på knappen Prenumerera.
